127.0.0.1, 2017-02-05 01:41:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:41:36, POST, /admin/wizard/index, HTTP/1.1, 303, 0.067000
127.0.0.1, 2017-02-05 01:41:36, GET, /admin/wizard/step1, HTTP/1.1, 200, 0.125000
127.0.0.1, 2017-02-05 01:41:36, GET, /admin/static/_2.14.6/plugin_multiselect/switch.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-02-05 01:41:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:42:17, GET, /admin/wizard/step5/0/, HTTP/1.1, 200, 0.134000
127.0.0.1, 2017-02-05 01:42:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:42:26, POST, /admin/wizard/step5/0/, HTTP/1.1, 303, 0.044000
127.0.0.1, 2017-02-05 01:42:26, GET, /admin/wizard/step5/1/, HTTP/1.1, 200, 0.077000
127.0.0.1, 2017-02-05 01:42:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:42:58, GET, /admin/wizard/step4/, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-02-05 01:42:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:43:01, GET, /admin/wizard/step3/, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-02-05 01:43:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:43:04, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.067000
127.0.0.1, 2017-02-05 01:43:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:43:07, GET, /admin/wizard/step1/, HTTP/1.1, 200, 0.088000
127.0.0.1, 2017-02-05 01:43:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:43:15, GET, /admin/wizard/step6/, HTTP/1.1, 200, 0.076000
127.0.0.1, 2017-02-05 01:43:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:45:20, POST, /admin/wizard/step6/, HTTP/1.1, 303, 1.748000
127.0.0.1, 2017-02-05 01:45:20, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.251000
127.0.0.1, 2017-02-05 01:45:23, GET, /HelloWorldWeb2Py/default/index, HTTP/1.1, 200, 3.192000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
00
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-02-05 01:45:24, GET, /HelloWorldWeb2Py/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:45:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:45:33, GET, /HelloWorldWeb2Py/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-02-05 01:45:33, GET, /HelloWorldWeb2Py/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-05 01:46:02, GET, /HelloWorldWeb2Py/default/index, HTTP/1.1, 200, 0.043000
127.0.0.1, 2017-02-05 01:46:03, GET, /HelloWorldWeb2Py/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-02-05 01:46:05, GET, /HelloWorldWeb2Py/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-02-05 01:46:08, GET, /HelloWorldWeb2Py/default/user/register, HTTP/1.1, 200, 0.079000
127.0.0.1, 2017-02-05 01:46:10, GET, /HelloWorldWeb2Py/default/index, HTTP/1.1, 200, 0.123000
127.0.0.1, 2017-02-05 01:46:12, GET, /HelloWorldWeb2Py/default/user/login, HTTP/1.1, 200, 0.051000
127.0.0.1, 2017-02-05 01:46:23, POST, /HelloWorldWeb2Py/default/user/login, HTTP/1.1, 200, 0.065000
127.0.0.1, 2017-02-05 01:46:28, POST, /HelloWorldWeb2Py/default/user/login, HTTP/1.1, 303, 0.047000
127.0.0.1, 2017-02-05 01:46:28, GET, /HelloWorldWeb2Py/default/user/login, HTTP/1.1, 200, 0.046000
127.0.0.1, 2017-02-05 01:46:30, POST, /HelloWorldWeb2Py/default/user/login, HTTP/1.1, 200, 0.069000
127.0.0.1, 2017-02-05 01:46:30, GET, /HelloWorldWeb2Py/default/user/login, HTTP/1.1, 200, 0.081000
127.0.0.1, 2017-02-05 01:47:18, GET, /HelloWorldWeb2Py/default/user/login, HTTP/1.1, 200, 0.104000
